,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,roll_required,wav,pwav,der,er_index,ir,tr_index
2016-01-04,CLG16,CLF17,1,1.0,0.0,False,True,,,,100.0,0.0,100.0
2016-01-05,CLG16,CLF17,2,1.0,0.0,False,True,0.03597,0.03676,-0.02149075081610441,97.85092492,6.946663748896853e-06,97.85161959
2016-01-06,CLG16,CLF17,3,1.0,0.0,False,True,0.03397,0.03597,-0.05560189046427588,92.41022851,6.946663748896853e-06,92.4115643
2016-01-07,CLG16,CLF17,4,1.0,0.0,False,True,0.03327,0.03397,-0.020606417427141532,90.50598477,6.946663748896853e-06,90.50793499
2016-01-08,CLG16,CLF17,5,1.0,0.0,False,True,0.033159999999999995,0.03327,-0.003306281935677946,90.20674647,6.946663748896853e-06,90.20931897
2016-01-11,CLG16,CLF17,6,0.8,0.2,False,True,0.03141,0.033159999999999995,-0.0527744270205065,85.44613711,2.0840136015110033e-05,85.45045382
2016-01-12,CLG16,CLF17,7,0.6,0.4,False,True,0.032066000000000004,0.033082,-0.030711565201620106,82.8219525,6.946663748896853e-06,82.82673023
2016-01-13,CLG16,CLF17,8,0.3999999999999999,0.6000000000000001,False,True,0.033416,0.033692,-0.00819185563338476,82.14348702,6.946663748896853e-06,82.14880098
2016-01-14,CLG16,CLF17,9,0.19999999999999996,0.8,False,True,0.035651999999999996,0.034884,0.022015823873408946,83.95194356,6.946663748896853e-06,83.95794517
2016-01-15,CLG16,CLF17,10,0.0,1.0,False,True,0.035244000000000004,0.037135999999999995,-0.05094786729857792,79.67477108,6.946663748896853e-06,79.68105015
2016-01-19,CLG16,CLF17,11,0.0,1.0,False,True,0.03605,0.0367,-0.017711171662125436,78.26363753,2.778694453331454e-05,78.27201948
2016-01-20,CLG16,CLF17,12,0.0,1.0,False,True,0.03536,0.03605,-0.019140083217753068,76.76566499,6.946663748896853e-06,76.77443024
2016-01-21,CLG16,CLF17,13,0.0,1.0,False,True,0.0363,0.03536,0.026583710407239725,78.8063812,6.946663748896853e-06,78.81591279
2016-01-22,CLG16,CLF17,14,0.0,1.0,False,True,0.03918,0.0363,0.07933884297520666,85.0587883,6.946663748896853e-06,85.06962362
2016-01-25,CLG16,CLF17,15,0.0,1.0,False,True,0.038079999999999996,0.03918,-0.028075548749362023,82.67071614,2.0840136015110033e-05,82.68302011
2016-01-26,CLG16,CLF17,16,0.0,1.0,False,True,0.03907,0.038079999999999996,0.025997899159663884,84.81998108,6.946663748896853e-06,84.8331793
2016-01-27,CLG16,CLF17,17,0.0,1.0,False,True,0.03995,0.03907,0.022523675454312775,86.73043881,6.946663748896853e-06,86.74452361
2016-01-28,CLG16,CLF17,18,0.0,1.0,False,True,0.04088,0.03995,0.02327909887359203,88.74944527,6.946663748896853e-06,88.76446054
2016-01-29,CLG16,CLF17,19,0.0,1.0,False,True,0.04213,0.04088,0.03057729941291587,91.46316363,6.946663748896853e-06,91.47925464
2016-02-01,CLF17,CLF17,1,1.0,0.0,False,False,0.04065,0.04213,-0.035129361500118694,88.25012109,2.0840136015110033e-05,88.26755327
2016-02-02,CLF17,CLF17,2,1.0,0.0,False,False,0.03947,0.04065,-0.02902829028290288,85.68837096,8.892525428683129e-06,85.70608204
2016-02-03,CLF17,CLF17,3,1.0,0.0,False,False,0.04106,0.03947,0.04028375981758292,89.14022071,8.892525428683129e-06,89.1594074
2016-02-04,CLF17,CLF17,4,1.0,0.0,False,False,0.040909999999999995,0.04106,-0.003653190452995725,88.81457451,8.892525428683129e-06,88.83448396
2016-02-05,CLF17,CLF17,5,1.0,0.0,False,False,0.04079,0.040909999999999995,-0.0029332681495966018,88.55405755,8.892525428683129e-06,88.57469856
2016-02-08,CLF17,CLF17,6,1.0,0.0,False,False,0.04001,0.04079,-0.019122333905368993,86.86069729,2.6677813517839155e-05,86.88330658
2016-02-09,CLF17,CLF17,7,1.0,0.0,False,False,0.037469999999999996,0.04001,-0.06348412896775812,81.34642158,8.892525428683129e-06,81.36836815
2016-02-10,CLF17,CLF17,8,1.0,0.0,False,False,0.037880000000000004,0.037469999999999996,0.010942087002935974,82.2365212,8.892525428683129e-06,82.25943148
2016-02-11,CLF17,CLF17,9,1.0,0.0,False,False,0.03724,0.037880000000000004,-0.01689545934530101,80.8470974,8.892525428683129e-06,80.87035209
2016-02-12,CLF17,CLF17,10,1.0,0.0,False,False,0.04002,0.03724,0.07465091299677762,86.88240703,8.892525428683129e-06,86.90811685
2016-02-16,CLF17,CLF17,11,1.0,0.0,False,False,0.03866,0.04002,-0.03398300849575209,83.92988145,3.5570576179866364e-05,83.95780894
2016-02-17,CLF17,CLF17,12,1.0,0.0,False,False,0.04054,0.03866,0.04862907397827221,88.01131386,8.892525428683129e-06,88.04134603
2016-02-18,CLF17,CLF17,13,1.0,0.0,False,False,0.040119999999999996,0.04054,-0.010360138135175223,87.09950449,8.892525428683129e-06,87.13000843
2016-02-19,CLF17,CLF17,14,1.0,0.0,False,False,0.038979999999999994,0.040119999999999996,-0.02841475573280161,84.62459335,8.892525428683129e-06,84.65500533
2016-02-22,CLF17,CLF17,15,1.0,0.0,False,False,0.040350000000000004,0.038979999999999994,0.035146228835300386,87.59882867,2.6677813517839155e-05,87.63256793
2016-02-23,CLF17,CLF17,16,1.0,0.0,False,False,0.03929,0.040350000000000004,-0.02627013630731112,85.2975955,8.892525428683129e-06,85.3312277
2016-02-24,CLF17,CLF17,17,1.0,0.0,False,False,0.04008,0.03929,0.020106897429371218,87.0126655,8.892525428683129e-06,87.04773275
2016-02-25,CLF17,CLF17,18,1.0,0.0,False,False,0.0404,0.04008,0.007984031936127733,87.7073774,8.892525428683129e-06,87.7434987
2016-02-26,CLF17,CLF17,19,1.0,0.0,False,False,0.03986,0.0404,-0.013366336633663378,86.53505107,8.892525428683129e-06,86.57146982
2016-02-29,CLF17,CLF17,20,1.0,0.0,False,False,0.04093,0.03986,0.02684395383843463,88.85799399,2.6677813517839155e-05,88.8976999
2016-03-01,CLF17,CLF17,1,1.0,0.0,False,False,0.04102,0.04093,0.0021988761299780446,89.05338171,8.892525428683129e-06,89.09396545
2016-03-02,CLF17,CLF17,2,1.0,0.0,False,False,0.04096,0.04102,-0.0014627011214041197,88.92312323,8.614523860694945e-06,88.96441511
2016-03-03,CLF17,CLF17,3,1.0,0.0,False,False,0.04109,0.04096,0.003173828125,89.20534994,8.614523860694945e-06,89.24753926
2016-03-04,CLF17,CLF17,4,1.0,0.0,False,False,0.04262,0.04109,0.03723533706497917,92.52694121,8.614523860694945e-06,92.57147029
2016-03-07,CLF17,CLF17,5,1.0,0.0,False,False,0.0444,0.04262,0.04176442984514317,96.39127615,2.5843794212665472e-05,96.44005736
2016-03-08,CLF17,CLF17,6,1.0,0.0,False,False,0.04295,0.0444,-0.0326576576576576,93.24336285,8.614523860694945e-06,93.29138177
2016-03-09,CLF17,CLF17,7,1.0,0.0,False,False,0.04416,0.04295,0.0281722933643771,95.87024222,8.614523860694945e-06,95.9204176
2016-03-10,CLF17,CLF17,8,1.0,0.0,False,False,0.043429999999999996,0.04416,-0.016530797101449335,94.2854307,8.614523860694945e-06,94.33560295
2016-03-11,CLF17,CLF17,9,1.0,0.0,False,False,0.04399,0.043429999999999996,0.012894312687082854,95.50117653,8.614523860694945e-06,95.55280837
2016-03-14,CLF17,CLF17,10,1.0,0.0,False,False,0.0428,0.04399,-0.027051602636963046,92.91771665,2.5843794212665472e-05,92.97042121
2016-03-15,CLF17,CLF17,11,1.0,0.0,False,False,0.042159999999999996,0.0428,-0.014953271028037451,91.52829285,8.614523860694945e-06,91.5810102
2016-03-16,CLF17,CLF17,12,1.0,0.0,False,False,0.043590000000000004,0.042159999999999996,0.0339184060721065,94.63278665,8.614523860694945e-06,94.68808102
2016-03-17,CLF17,CLF17,13,1.0,0.0,False,False,0.04464,0.043590000000000004,0.02408809359944941,96.91231007,8.614523860694945e-06,96.96975207
2016-03-18,CLF17,CLF17,14,1.0,0.0,False,False,0.04436,0.04464,-0.006272401433691788,96.30443716,8.614523860694945e-06,96.36235421
2016-03-21,CLF17,CLF17,15,1.0,0.0,False,False,0.044700000000000004,0.04436,0.007664562669071451,97.04256855,2.5843794212665472e-05,97.10341988
2016-03-22,CLF17,CLF17,16,1.0,0.0,False,False,0.04506,0.044700000000000004,0.008053691275167862,97.82411944,8.614523860694945e-06,97.88629735
2016-03-23,CLF17,CLF17,17,1.0,0.0,False,False,0.04385,0.04506,-0.026853084775854463,95.19724007,8.614523860694945e-06,95.25859156
2016-03-24,CLF17,CLF17,18,1.0,0.0,False,False,0.04364,0.04385,-0.004789053591790271,94.74133539,8.614523860694945e-06,94.80321367
2016-03-28,CLF17,CLF17,19,1.0,0.0,False,False,0.04342,0.04364,-0.005041246562786372,94.26372096,3.445854070527332e-05,94.32855408
2016-03-29,CLF17,CLF17,20,1.0,0.0,False,False,0.04272,0.04342,-0.016121602947950286,92.74403868,8.614523860694945e-06,92.80863918
