연도,정적_IRY_합계,동적_IRY_합계,IRY_절감액_합계,정적_체결금액_합계(달러),동적_체결금액_합계(달러),체결금액_절감액(달러),절감률(%),콘탱고_월수(시장상황),백워데이션_월수(시장상황),동적_실제롤실행횟수,동적_월물유지횟수(거래없음)
2016,-0.2918620757532231,-0.03139708318126508,0.260464992571958,524636000.0,188660000.0,-335976000.0,-64.03982951989569,12,0,4,8
2017,-0.09206490579732154,-0.0035747359625650722,0.08849016983475648,612592000.0,209916000.0,-402676000.0,-65.73314702118212,12,0,4,8
2018,0.03749791234807396,-0.003711160395830547,-0.0412090727439045,775388000.0,255036000.0,-520352000.0,-67.10859595454147,3,9,4,8
2019,-0.1613021137897658,0.13942387776276624,0.30072599155253205,678498000.0,387886000.0,-290612000.0,-42.83166641611324,10,2,7,5
2020,-0.28161252481272514,-0.007887074015827517,0.2737254507968976,484316000.0,228530000.0,-255786000.0,-52.813865327596034,11,1,5,7
2021,0.04664193614767673,-0.07062111518211794,-0.11726305132979466,815904000.0,409840000.0,-406064000.0,-49.76860022747774,3,9,6,6
2022,0.16081304057271809,-0.03644824485129103,-0.19726128542400911,1120662000.0,519934000.0,-600728000.0,-53.60474433861414,1,11,6,6
2023,0.025598914395118896,-0.06459534122300276,-0.09019425561812165,934040000.0,612312000.0,-321728000.0,-34.444777525587774,5,7,8,4
2024,0.07886928875197363,0.025412148073586594,-0.05345714067838705,904890000.0,278986000.0,-625904000.0,-69.16907027373493,1,11,4,8
2025,0.1052103819977815,0.07023124126113517,-0.03497914073664634,771740000.0,589012000.0,-182728000.0,-23.677404307150077,0,12,9,3
2026,0.04151031017906691,-0.13897932974572985,-0.18048963992479677,213784000.0,208590000.0,-5194000.0,-2.4295550649253452,0,3,3,0
