date,year,month,static_effective_roll_cost_monthly_avg,dynamic_effective_roll_cost_monthly_avg,roll_required
2016-01-05,2016,1,0.004073284857288152,0.005640832766273128,1.0
2016-02-01,2016,2,-0.003185988861135652,-0.0016220833492660736,0.0
2016-03-01,2016,3,-0.0003336580643313426,-0.0017360162798187508,0.0
2016-04-01,2016,4,-0.0008484199602314444,-0.0030930266249216765,1.0
2016-05-02,2016,5,-0.00039717979249339247,-0.00038221335835338034,0.0
2016-06-01,2016,6,-0.00030776597233249256,0.001313261856849137,0.0
2016-07-01,2016,7,-0.00099704750447277,0.0013644898228468206,1.0
2016-08-01,2016,8,0.00023277064274878948,-0.00047300188412068917,0.0
2016-09-01,2016,9,0.0014488178083204017,0.0010530349091092777,0.0
2016-10-03,2016,10,-2.7393264221329894e-05,0.000580042326069653,1.0
2016-11-01,2016,11,-0.0001800288744198448,4.6118905335335557e-05,0.0
2016-12-01,2016,12,-0.0006570929733073415,-0.00046317998899504334,0.0
2017-01-03,2017,1,-0.000461958692841552,-0.0005007093168715615,1.0
2017-02-01,2017,2,-0.0009528036262953744,-0.0017843253769719175,0.0
2017-03-01,2017,3,0.0001327932754920163,0.000867573408626527,0.0
2017-04-03,2017,4,-0.0010833699490392951,-0.0006694549833345942,1.0
2017-05-01,2017,5,0.0002986002543456278,0.00017583234917766357,0.0
2017-06-01,2017,6,-0.0009577401549219287,0.00011361159192900412,0.0
2017-07-03,2017,7,-0.0012928479209948717,-0.0031100635447188054,1.0
2017-08-01,2017,8,0.0005591860128481346,0.0027393936216977134,0.0
2017-09-01,2017,9,-0.0003774900052367747,-0.002398173169176837,0.0
2017-10-02,2017,10,9.690937873070697e-05,-0.0005144644426248482,1.0
2017-11-01,2017,11,0.00043876643964716307,-0.00013549941599033666,0.0
2017-12-01,2017,12,0.0005149975523615236,0.0007352868922997913,0.0
2018-01-02,2018,1,0.0008079545333171572,-9.966897657066545e-06,0.0
2018-02-01,2018,2,-3.1519241217429394e-05,-0.0001702749598557879,0.0
2018-03-01,2018,3,0.0013439734750477401,0.0018379912275033618,0.0
2018-04-02,2018,4,0.00022601165880530876,0.0004904687310727134,1.0
2018-05-01,2018,5,-0.00015375331848102832,0.0008838483237384151,0.0
2018-06-01,2018,6,-0.0004169209587222661,-0.0017409709647445387,1.0
2018-07-02,2018,7,-0.000951354220120424,-0.0004343500342729139,0.0
2018-08-01,2018,8,0.0007817251041674271,0.0010577084855987137,0.0
2018-09-04,2018,9,0.0001450360155267163,1.747822929745881e-05,1.0
2018-10-01,2018,10,-0.0016324080167138943,-1.8767964834228664e-05,0.0
2018-11-01,2018,11,-0.0029076327997661724,-0.002670364389985009,1.0
2018-12-03,2018,12,-0.0015659939809794022,0.0006350296340387584,0.0
2019-01-02,2019,1,-0.0002412483867128636,-0.0017784615215936767,0.0
2019-02-01,2019,2,-0.0003382541124879311,0.0003211089553026613,1.0
2019-03-01,2019,3,-0.0001528398779472835,-0.0015484380943547025,0.0
2019-04-01,2019,4,0.000406186959266398,-0.0005278595831993785,0.0
2019-05-01,2019,5,-0.001233917293551833,-0.0001358764246602458,1.0
2019-06-03,2019,6,-0.00026402038248070635,0.002363147256263587,0.0
2019-07-01,2019,7,-0.0004281037442039892,0.0007549045254681898,1.0
2019-08-01,2019,8,0.00016897600126305782,0.001903048951231844,1.0
2019-09-03,2019,9,0.002366221559785242,0.004864910187306709,1.0
2019-10-01,2019,10,0.0008753017120386887,0.0025556017027962286,1.0
2019-11-01,2019,11,0.0015082416627205553,0.003761918432419226,1.0
2019-12-02,2019,12,-0.0005228854362363322,-0.000972478010040766,0.0
2020-01-02,2020,1,-0.001288154863163233,0.0008387351697268098,1.0
2020-02-03,2020,2,-0.004925584631856147,-0.002833772863210924,1.0
2020-03-02,2020,3,0.0013648945294470925,0.02041704953157748,0.0
2020-04-01,2020,4,0.17682673156523013,0.1730953542225553,0.0
2020-05-01,2020,5,2.2577058051959088e-05,-0.02286115538340817,1.0
2020-06-01,2020,6,-0.0003734803046789505,-0.002494235036105191,0.0
2020-07-01,2020,7,-0.00018043513541184236,0.0011764627276425112,0.0
2020-08-03,2020,8,-0.000571572750112183,-0.0006462049466329592,1.0
2020-09-01,2020,9,-1.5525134611459906e-05,0.0004913969013685946,0.0
2020-10-01,2020,10,-0.0018891378078606828,-0.0009765525011442011,0.0
2020-11-02,2020,11,0.000709742811625369,-0.0029030303836138803,1.0
