롤결정일,연도,월,시장상황,정적_롤아웃_월물,정적_롤인_월물,동적_롤아웃_월물,동적_롤인_월물,롤실행여부,최적월물셋(DRA),정적_IRY,동적_IRY,IRY_절감액,static_pure_iry,dynamic_pure_iry,pure_iry_saving,정적_체결금액(달러),동적_체결금액(달러),체결금액_차이(달러)
2016-01-11,2016,1,Contango,CLG16,CLH16,CLG16,CLF17,True,"['CLF17', 'CLV16', 'CLX16']",-0.03413284132841337,-0.019109881820467696,0.015022959507945674,-0.03413284132841337,-0.019109881820467696,0.015022959507945674,31586000.0,38296000.0,6710000.0
2016-02-08,2016,2,Contango,CLH16,CLJ16,CLF17,CLF17,False,"['CLG17', 'CLF17', 'CLZ16']",-0.0616308470290771,0.0,0.0616308470290771,-0.0616308470290771,0.0,0.0616308470290771,30356000.0,0.0,-30356000.0
2016-03-08,2016,3,Contango,CLJ16,CLK16,CLF17,CLF17,False,"['CLH17', 'CLG17', 'CLF17']",-0.04997397188964085,0.0,0.04997397188964085,-0.04997397188964085,0.0,0.04997397188964085,39364000.0,0.0,-39364000.0
2016-04-08,2016,4,Contango,CLK16,CLM16,CLF17,CLJ17,True,"['CLJ17', 'CLH17', 'CLG17']",-0.030983166626006416,-0.004511617414843232,0.026471549211163185,-0.030983166626006416,-0.004511617414843232,0.026471549211163185,42384000.0,45646000.0,3262000.0
2016-05-09,2016,5,Contango,CLM16,CLN16,CLJ17,CLJ17,False,"['CLJ17', 'CLK17', 'CLH17']",-0.013399954576425241,0.0,0.013399954576425241,-0.013399954576425241,0.0,0.013399954576425241,46148000.0,0.0,-46148000.0
2016-06-08,2016,6,Contango,CLN16,CLQ16,CLJ17,CLJ17,False,"['CLM17', 'CLK17', 'CLJ17']",-0.0117669753086421,0.0,0.0117669753086421,-0.0117669753086421,0.0,0.0117669753086421,50272000.0,0.0,-50272000.0
2016-07-11,2016,7,Contango,CLQ16,CLU16,CLJ17,CLN17,True,"['CLN17', 'CLM17', 'CLK17']",-0.01669595782073825,-0.005702539619388678,0.01099341820134957,-0.01669595782073825,-0.005702539619388678,0.01099341820134957,46320000.0,50752000.0,4432000.0
2016-08-08,2016,8,Contango,CLU16,CLV16,CLN17,CLN17,False,"['CLQ17', 'CLN17', 'CLM17']",-0.01691042047531981,0.0,0.01691042047531981,-0.01691042047531981,0.0,0.01691042047531981,43826000.0,0.0,-43826000.0
2016-09-09,2016,9,Contango,CLV16,CLX16,CLN17,CLN17,False,"['CLU17', 'CLQ17', 'CLN17']",-0.012483857081360274,0.0,0.012483857081360274,-0.012483857081360274,0.0,0.012483857081360274,45490000.0,0.0,-45490000.0
2016-10-10,2016,10,Contango,CLX16,CLZ16,CLN17,CLV17,True,"['CLV17', 'CLU17', 'CLQ17']",-0.010025062656641527,-0.0020730443265654743,0.007952018330076053,-0.010025062656641527,-0.0020730443265654743,0.007952018330076053,51070000.0,53966000.0,2896000.0
2016-11-08,2016,11,Contango,CLZ16,CLF17,CLV17,CLV17,False,"['CLX17', 'CLV17', 'CLU17']",-0.013812760359570325,0.0,0.013812760359570325,-0.013812760359570325,0.0,0.013812760359570325,45000000.0,0.0,-45000000.0
2016-12-08,2016,12,Contango,CLF17,CLG17,CLV17,CLV17,False,"['CLX17', 'CLV17', 'CLZ17']",-0.0200462606013878,0.0,0.0200462606013878,-0.0200462606013878,0.0,0.0200462606013878,52820000.0,0.0,-52820000.0
2017-01-10,2017,1,Contango,CLG17,CLH17,CLV17,CLF18,True,"['CLF18', 'CLZ17', 'CLX17']",-0.01702127659574473,-0.001692354185554555,0.015328922410190175,-0.01702127659574473,-0.001692354185554555,0.015328922410190175,53002000.0,56226000.0,3224000.0
2017-02-08,2017,2,Contango,CLH17,CLJ17,CLF18,CLF18,False,"['CLG18', 'CLF18', 'CLZ17']",-0.010773010773010645,0.0,0.010773010773010645,-0.010773010773010645,0.0,0.010773010773010645,53568000.0,0.0,-53568000.0
2017-03-08,2017,3,Contango,CLJ17,CLK17,CLF18,CLF18,False,"['CLH18', 'CLG18', 'CLF18']",-0.010820381664371378,0.0,0.010820381664371378,-0.010820381664371378,0.0,0.010820381664371378,49396000.0,0.0,-49396000.0
2017-04-10,2017,4,Contango,CLK17,CLM17,CLF18,CLJ18,True,"['CLJ18', 'CLH18', 'CLG18']",-0.0074794315632011705,0.0009213193292795195,0.00840075089248069,-0.0074794315632011705,0.0009213193292795195,0.00840075089248069,53500000.0,54528000.0,1028000.0
2017-05-08,2017,5,Contango,CLM17,CLN17,CLJ18,CLJ18,False,"['CLK18', 'CLJ18', 'CLH18']",-0.00875320239111878,0.0,0.00875320239111878,-0.00875320239111878,0.0,0.00875320239111878,47436000.0,0.0,-47436000.0
2017-06-08,2017,6,Contango,CLN17,CLQ17,CLJ18,CLJ18,False,"['CLM18', 'CLK18', 'CLJ18']",-0.005447809980387884,0.0,0.005447809980387884,-0.005447809980387884,0.0,0.005447809980387884,45976000.0,0.0,-45976000.0
2017-07-11,2017,7,Contango,CLQ17,CLU17,CLJ18,CLN18,True,"['CLN18', 'CLM18', 'CLV17']",-0.0042007517134644646,-0.0035948403467963488,0.0006059113666681158,-0.0042007517134644646,-0.0035948403467963488,0.0006059113666681158,46024000.0,47744000.0,1720000.0
2017-08-08,2017,8,Contango,CLU17,CLV17,CLN18,CLN18,False,"['CLN18', 'CLQ18', 'CLM18']",-0.0036474164133738544,0.0,0.0036474164133738544,-0.0036474164133738544,0.0,0.0036474164133738544,48904000.0,0.0,-48904000.0
2017-09-11,2017,9,Contango,CLV17,CLX17,CLN18,CLN18,False,"['CLQ18', 'CLU18', 'CLN18']",-0.011312217194570078,0.0,0.011312217194570078,-0.011312217194570078,0.0,0.011312217194570078,49582000.0,0.0,-49582000.0
2017-10-09,2017,10,Contango,CLX17,CLZ17,CLN18,CLV18,True,"['CLV18', 'CLU18', 'CLQ18']",-0.007009813739234957,0.0007911392405063122,0.00780095297974127,-0.007009813739234957,0.0007911392405063122,0.00780095297974127,51084000.0,51418000.0,334000.0
