롤결정일,연도,월,시장상황,정적_롤아웃_월물,정적_롤인_월물,정적_순수IRY,동적_롤아웃_월물,동적_롤인_월물,동적_순수IRY,롤실행여부,순수IRY_절감액
2016-01-11,2016,1,Contango,CLG16,CLH16,-0.03413284132841337,CLG16,CLF17,-0.019109881820467696,True,0.015022959507945674
2016-02-08,2016,2,Contango,CLH16,CLJ16,-0.0616308470290771,CLF17,CLF17,0.0,False,0.0616308470290771
2016-03-08,2016,3,Contango,CLJ16,CLK16,-0.04997397188964085,CLF17,CLF17,0.0,False,0.04997397188964085
2016-04-08,2016,4,Contango,CLK16,CLM16,-0.030983166626006416,CLF17,CLJ17,-0.004511617414843232,True,0.026471549211163185
2016-05-09,2016,5,Contango,CLM16,CLN16,-0.013399954576425241,CLJ17,CLJ17,0.0,False,0.013399954576425241
2016-06-08,2016,6,Contango,CLN16,CLQ16,-0.0117669753086421,CLJ17,CLJ17,0.0,False,0.0117669753086421
2016-07-11,2016,7,Contango,CLQ16,CLU16,-0.01669595782073825,CLJ17,CLN17,-0.005702539619388678,True,0.01099341820134957
2016-08-08,2016,8,Contango,CLU16,CLV16,-0.01691042047531981,CLN17,CLN17,0.0,False,0.01691042047531981
2016-09-09,2016,9,Contango,CLV16,CLX16,-0.012483857081360274,CLN17,CLN17,0.0,False,0.012483857081360274
2016-10-10,2016,10,Contango,CLX16,CLZ16,-0.010025062656641527,CLN17,CLV17,-0.0020730443265654743,True,0.007952018330076053
2016-11-08,2016,11,Contango,CLZ16,CLF17,-0.013812760359570325,CLV17,CLV17,0.0,False,0.013812760359570325
2016-12-08,2016,12,Contango,CLF17,CLG17,-0.0200462606013878,CLV17,CLV17,0.0,False,0.0200462606013878
2017-01-10,2017,1,Contango,CLG17,CLH17,-0.01702127659574473,CLV17,CLF18,-0.001692354185554555,True,0.015328922410190175
2017-02-08,2017,2,Contango,CLH17,CLJ17,-0.010773010773010645,CLF18,CLF18,0.0,False,0.010773010773010645
2017-03-08,2017,3,Contango,CLJ17,CLK17,-0.010820381664371378,CLF18,CLF18,0.0,False,0.010820381664371378
2017-04-10,2017,4,Contango,CLK17,CLM17,-0.0074794315632011705,CLF18,CLJ18,0.0009213193292795195,True,0.00840075089248069
2017-05-08,2017,5,Contango,CLM17,CLN17,-0.00875320239111878,CLJ18,CLJ18,0.0,False,0.00875320239111878
2017-06-08,2017,6,Contango,CLN17,CLQ17,-0.005447809980387884,CLJ18,CLJ18,0.0,False,0.005447809980387884
2017-07-11,2017,7,Contango,CLQ17,CLU17,-0.0042007517134644646,CLJ18,CLN18,-0.0035948403467963488,True,0.0006059113666681158
2017-08-08,2017,8,Contango,CLU17,CLV17,-0.0036474164133738544,CLN18,CLN18,0.0,False,0.0036474164133738544
2017-09-11,2017,9,Contango,CLV17,CLX17,-0.011312217194570078,CLN18,CLN18,0.0,False,0.011312217194570078
2017-10-09,2017,10,Contango,CLX17,CLZ17,-0.007009813739234957,CLN18,CLV18,0.0007911392405063122,True,0.00780095297974127
2017-11-08,2017,11,Contango,CLZ17,CLF18,-0.00420683610867651,CLV18,CLV18,0.0,False,0.00420683610867651
2017-12-08,2017,12,Contango,CLF18,CLG18,-0.0013927576601671012,CLV18,CLV18,0.0,False,0.0013927576601671012
2018-01-09,2018,1,Backwardation,CLG18,CLH18,0.0014315253698107748,CLV18,CLV18,0.0,False,-0.0014315253698107748
2018-02-08,2018,2,Backwardation,CLH18,CLJ18,0.0034460124712832434,CLV18,CLV18,0.0,False,-0.0034460124712832434
2018-03-08,2018,3,Backwardation,CLJ18,CLK18,0.0009990009990009186,CLV18,CLV18,0.0,False,-0.0009990009990009186
2018-04-09,2018,4,Contango,CLK18,CLM18,-0.00015765410688945312,CLV18,CLG19,0.006698643731392646,True,0.006856297838282099
2018-05-08,2018,5,Backwardation,CLM18,CLN18,0.0013049151805133161,CLG19,CLG19,0.0,False,-0.0013049151805133161
