date,year,month,market_condition,static_roll_out,static_roll_in,static_roll_spread,dynamic_roll_out,dynamic_roll_in,roll_required,dynamic_roll_spread,spread_saving
2016-01-11,2016,1,Contango,CLG16,CLH16,-0.9960000000000001,CLG16,CLF17,True,-7.706,-6.71
2016-02-08,2016,2,Contango,CLH16,CLJ16,-2.2099999999999986,CLF17,CLF17,False,0.0,2.2099999999999986
2016-03-08,2016,3,Contango,CLJ16,CLK16,-1.702000000000001,CLF17,CLF17,False,0.0,1.702000000000001
2016-04-08,2016,4,Contango,CLK16,CLM16,-1.2820000000000007,CLF17,CLJ17,True,-0.574000000000001,0.7079999999999997
2016-05-09,2016,5,Contango,CLM16,CLN16,-0.7000000000000014,CLJ17,CLJ17,False,0.0,0.7000000000000014
2016-06-08,2016,6,Contango,CLN16,CLQ16,-0.6260000000000006,CLJ17,CLJ17,False,0.0,0.6260000000000006
2016-07-11,2016,7,Contango,CLQ16,CLU16,-0.7320000000000008,CLJ17,CLN17,True,-0.7099999999999994,0.022000000000001352
2016-08-08,2016,8,Contango,CLU16,CLV16,-0.7299999999999969,CLN17,CLN17,False,0.0,0.7299999999999969
2016-09-09,2016,9,Contango,CLV16,CLX16,-0.5780000000000015,CLN17,CLN17,False,0.0,0.5780000000000015
2016-10-10,2016,10,Contango,CLX16,CLZ16,-0.4480000000000004,CLN17,CLV17,True,-0.3860000000000028,0.06199999999999761
2016-11-08,2016,11,Contango,CLZ16,CLF17,-0.6719999999999999,CLV17,CLV17,False,0.0,0.6719999999999999
2016-12-08,2016,12,Contango,CLF17,CLG17,-0.9820000000000008,CLV17,CLV17,False,0.0,0.9820000000000008
2017-01-10,2017,1,Contango,CLG17,CLH17,-0.8160000000000025,CLV17,CLF18,True,-0.16799999999999926,0.6480000000000032
2017-02-08,2017,2,Contango,CLH17,CLJ17,-0.5019999999999982,CLF18,CLF18,False,0.0,0.5019999999999982
2017-03-08,2017,3,Contango,CLJ17,CLK17,-0.5619999999999991,CLF18,CLF18,False,0.0,0.5619999999999991
2017-04-10,2017,4,Contango,CLK17,CLM17,-0.4160000000000011,CLF18,CLJ18,True,0.09399999999999835,0.5099999999999995
2017-05-08,2017,5,Contango,CLM17,CLN17,-0.37400000000000233,CLJ18,CLJ18,False,0.0,0.37400000000000233
2017-06-08,2017,6,Contango,CLN17,CLQ17,-0.22800000000000153,CLJ18,CLJ18,False,0.0,0.22800000000000153
2017-07-11,2017,7,Contango,CLQ17,CLU17,-0.18999999999999773,CLJ18,CLN18,True,-0.3799999999999997,-0.190000000000002
2017-08-08,2017,8,Contango,CLU17,CLV17,-0.15799999999999698,CLN18,CLN18,False,0.0,0.15799999999999698
2017-09-11,2017,9,Contango,CLV17,CLX17,-0.5060000000000002,CLN18,CLN18,False,0.0,0.5060000000000002
2017-10-09,2017,10,Contango,CLX17,CLZ17,-0.3139999999999986,CLN18,CLV18,True,0.19799999999999898,0.5119999999999976
