=== [투자자 관점] 성과 지표 ===
지수,최종값,누적수익(%),연환산수익(%),연환산변동성(%),최대낙폭(%),샤프,소르티노,칼마,연환산롤일드(%),근월물베타
정적 ER,177.8290,77.83,5.66,45.49,-89.81,0.357,0.423,0.063,27.426,0.1356
정적 TR,224.0476,124.05,8.02,45.49,-89.50,0.406,0.480,0.090,27.426,N/A
DRA ER,266.9540,166.95,9.85,32.46,-55.58,0.453,0.571,0.177,25.505,0.0869
DRA TR,336.3229,236.32,12.30,32.46,-54.23,0.522,0.656,0.227,25.505,N/A

=== [시장 국면별] 누적 수익률 ===
국면,시작,종료,static_er_ret,static_tr_ret,dra_er_ret,dra_tr_ret
강한 콘탱고,2016-01-04,2016-03-31,-10.40,-10.33,-6.00,-5.93
평범한/혼조세,2017-01-01,2019-12-31,-4.80,0.13,23.33,29.71
슈퍼 콘탱고,2020-03-01,2020-05-31,-43.16,-43.13,-22.39,-22.35
슈퍼 백워데이션,2022-02-01,2022-08-31,14.84,15.73,16.80,17.70
강한 백워데이션,2025-07-01,2026-03-18,57.11,61.52,34.01,37.77

=== [연도별 롤일드 (%, 연환산)] ===
year,static_ry_pct,dra_ry_pct
2016,-2.916,3.015
2017,19.331,17.121
2018,-3.789,6.059
2019,-20.018,-7.377
2020,838.918,749.801
2021,35.394,25.839
2022,1.186,-4.342
2023,3.958,6.498
2024,-10.039,-14.363
2025,-2.160,-3.072

=== [연도별 근월물 베타] ===
year,static_er_beta,dra_er_beta
2016,0.9603,0.7189
2017,0.9898,0.7909
2018,0.9913,0.8803
2019,1.0392,0.8914
2020,0.0617,0.0215
2021,0.9853,0.8872
2022,0.9838,0.9139
2023,0.9956,0.8620
2024,0.9804,0.8992
2025,0.9834,0.9687
2026,0.9861,0.5577
