=== [투자자 관점] 성과 지표 ===
지수,최종값,누적수익(%),연환산수익(%),연환산변동성(%),최대낙폭(%),샤프,소르티노,칼마,연환산롤일드(%),근월물베타
정적 ER,177.8290,77.83,5.66,45.49,-89.81,0.357,0.423,0.063,24.248,0.1356
정적 TR,224.0476,124.05,8.02,45.49,-89.50,0.406,0.480,0.090,24.248,0.1356
DRA ER,266.9540,166.95,9.85,32.46,-55.58,0.453,0.571,0.177,22.728,0.0869
DRA TR,336.3229,236.32,12.30,32.46,-54.23,0.522,0.656,0.227,22.728,0.0869

=== [발행사 관점] 거래 비용 ===
지수,연간회전율(x),연간수수료(USD),연간스프레드(USD),연간시장충격(USD),연간총비용(USD),비용/AUM(%p.a.)
정적 ER,51.386,13395,89302,0,102698,1.02698
DRA ER,25.885,6357,42381,11025,59764,0.59764

=== [시장 국면별] 누적 수익률 ===
국면,시작,종료,static_er_ret,static_tr_ret,dra_er_ret,dra_tr_ret
강한 콘탱고,2016-01-04,2016-03-31,-10.40,-10.33,-6.00,-5.93
평범한/혼조세,2017-01-01,2019-12-31,-4.80,0.13,23.33,29.71
슈퍼 콘탱고,2020-03-01,2020-05-31,-43.16,-43.13,-22.39,-22.35
슈퍼 백워데이션,2022-02-01,2022-07-31,25.41,26.08,26.19,26.86
강한 백워데이션,2025-07-01,2026-03-18,57.11,61.52,34.01,37.77

=== [유동성 리스크] 롤량/ADV 요약 ===
전략,평균롤량/ADV(%),최대롤량/ADV(%),1%ADV기준최대AUM(USD백만),5%ADV기준최대AUM(USD백만)
정적,0.0183,0.3445,20898.37,104491.86
DRA,0.3963,15.8437,8147.21,40736.04
